feature1,target,symbol
108960.0,27849743483.0,btc
2554.32,11772503991.0,eth
1.0,46499713101.0,usdt
2.3,1752174432.0,xrp
673.65,616058195.0,bnb
173.59,2854244231.0,sol
0.999781,7632055299.0,usdc
0.224836,1118304120.0,doge
0.756139,565258829.0,ada
0.274923,524367392.0,trx
2552.2,11270930.0,steth
108886.0,219425444.0,wbtc
37.16,371244019.0,hype
3.48,872047411.0,sui
3067.79,8828371.0,wsteth
15.51,334190168.0,link
23.06,356065833.0,avax
0.284937,148602036.0,xlm
1.442e-05,169275784.0,shib
413.63,155940144.0,bch
8.81,3529438.0,leo
0.185,127538002.0,hbar
2.97,157122580.0,ton
398.07,109354647.0,xmr
2553.29,55052725.0,weth
94.71,285356222.0,ltc
0.999796,5212637.0,usds
4.44,187629527.0,dot
2727.41,4923218.0,weeth
5.27,35129133.0,bgb
1.0,1264253278.0,bsc-usd
1.377e-05,1562440696.0,pepe
0.754461,135643516.0,pi
1.001,73789602.0,usde
108848.0,221764443.0,cbbtc
31.99,25024049.0,wbt
266.97,487748557.0,aave
6.46,454303590.0,uni
436.48,122376500.0,tao
1.0,52300918.0,dai
2.8,179121545.0,near
5.29,167342884.0,apt
209.27,52709481.0,jitosol
51.95,5720759.0,okb
0.934364,119913339.0,ondo
1.0,0.0,buidl
0.096486,21782408.0,cro
35.59,27355715.0,tkx
5.25,76056323.0,icp
18.26,59421790.0,etc
0.104722,52092439.0,kas
1.17,20214622.0,susde
21.11,18364194.0,gt
12.7,554214340.0,trump
4.76,103840777.0,render
0.72953,167052079.0,mnt
0.02745599,46011833.0,vet
0.889597,286425488.0,fet
1.053,11007160.0,susds
0.381346,231163128.0,ena
4.78,94775620.0,atom
1.002,440268414.0,usd1
1.38,312195504.0,wld
109004.0,9330270.0,lbtc
0.23036,63377993.0,pol
4.41,57040749.0,ftn
0.38866,170512918.0,arb
2.81,134465284.0,fil
0.217585,57024119.0,algo
0.603766,219778135.0,jup
2.59,118953030.0,tia
1.001,3413546799.0,fdusd
4.62,42910641.0,jlp
2.019e-05,294347470.0,bonk
2553.1,32572495.0,weth
106.21,47966704.0,qnt
182.45,1388116.0,bnsol
11.28,2842943.0,kcs
0.443967,91421740.0,s
2.14,282094986.0,virtual
1.4,129547390.0,fartcoin
14.01,161802543.0,inj
0.880513,41234496.0,stx
0.760269,136353438.0,op
2667.31,440743.0,rseth
1.25,13179146.0,nexo
0.01854575,6929048.0,flr
2901.4,1917253.0,reth
1.0,126057952.0,usdt0
4.25,29831213.0,ip
0.221218,53168979.0,sei
0.636628,38568199.0,imx
0.770847,11161419.0,eos
1.12,432793643.0,wif
0.067272,27072009.0,xdc
0.109729,46306929.0,grt
108788.0,1024868.0,solvbtc
0.749936,135082989.0,crv
9.903e-05,117154369.0,floki
225.16,10376269.0,msol
